  1	Q0	  50	 1	8.330143	STANDARD
  1	Q0	 485	 2	7.578828	STANDARD
  1	Q0	 183	 3	7.074699	STANDARD
  1	Q0	  11	 4	6.415164	STANDARD
  1	Q0	 877	 5	5.720513	STANDARD
  1	Q0	 572	 6	5.543020	STANDARD
  1	Q0	 745	 7	5.066091	STANDARD
  1	Q0	 664	 8	4.945973	STANDARD
  1	Q0	  12	 9	4.831018	STANDARD
  1	Q0	 791	10	4.780623	STANDARD
  1	Q0	1267	11	4.687001	STANDARD
  1	Q0	 140	12	4.584178	STANDARD
  1	Q0	1360	13	4.510634	STANDARD
  1	Q0	 746	14	4.302342	STANDARD
  1	Q0	  77	15	4.262064	STANDARD
  1	Q0	 434	16	4.260505	STANDARD
  1	Q0	 878	17	4.235249	STANDARD
  1	Q0	 943	18	4.146314	STANDARD
  1	Q0	 358	19	4.110505	STANDARD
  1	Q0	  13	20	4.107855	STANDARD
  1	Q0	 874	21	4.056953	STANDARD
  1	Q0	1327	22	3.907491	STANDARD
  1	Q0	 875	23	3.872662	STANDARD
  1	Q0	 662	24	3.871982	STANDARD
  1	Q0	 250	25	3.855803	STANDARD
  1	Q0	 328	26	3.833744	STANDARD
  1	Q0	 251	27	3.778514	STANDARD
  1	Q0	  28	28	3.725947	STANDARD
  1	Q0	1339	29	3.723814	STANDARD
  1	Q0	1002	30	3.703162	STANDARD
  1	Q0	1143	31	3.579761	STANDARD
  1	Q0	  55	32	3.578715	STANDARD
  1	Q0	 452	33	3.545904	STANDARD
  1	Q0	 575	34	3.520713	STANDARD
  1	Q0	 171	35	3.448936	STANDARD
  1	Q0	1299	36	3.415803	STANDARD
  1	Q0	1262	37	3.364389	STANDARD
  1	Q0	1146	38	3.346736	STANDARD
  1	Q0	 218	39	3.345469	STANDARD
  1	Q0	 201	40	3.327226	STANDARD
  1	Q0	  35	41	3.320486	STANDARD
  1	Q0	 525	42	3.305496	STANDARD
  1	Q0	1071	43	3.282821	STANDARD
  1	Q0	 100	44	3.178563	STANDARD
  1	Q0	 299	45	3.119562	STANDARD
  1	Q0	 684	46	3.104865	STANDARD
  1	Q0	 605	47	3.088950	STANDARD
  1	Q0	1245	48	3.064201	STANDARD
  1	Q0	 583	49	3.059397	STANDARD
  1	Q0	 314	50	3.041842	STANDARD
  2	Q0	  11	 1	9.842745	STANDARD
  2	Q0	 745	 2	6.877755	STANDARD
  2	Q0	  50	 3	5.657835	STANDARD
  2	Q0	 791	 4	5.608591	STANDARD
  2	Q0	 140	 5	5.033639	STANDARD
  2	Q0	 809	 6	4.819819	STANDARD
  2	Q0	 183	 7	4.703697	STANDARD
  2	Q0	1088	 8	4.697434	STANDARD
  2	Q0	1379	 9	4.583030	STANDARD
  2	Q0	  99	10	4.558353	STANDARD
  2	Q0	1168	11	4.459140	STANDARD
  2	Q0	  91	12	4.379826	STANDARD
  2	Q0	 699	13	4.376764	STANDARD
  2	Q0	  77	14	4.163299	STANDARD
  2	Q0	  13	15	4.158428	STANDARD
  2	Q0	 723	16	4.116788	STANDARD
  2	Q0	 908	17	4.068221	STANDARD
  2	Q0	 171	18	4.045487	STANDARD
  2	Q0	1360	19	3.896533	STANDARD
  2	Q0	 250	20	3.855803	STANDARD
  2	Q0	 874	21	3.821254	STANDARD
  2	Q0	 746	22	3.818884	STANDARD
  2	Q0	 252	23	3.783101	STANDARD
  2	Q0	1169	24	3.771969	STANDARD
  2	Q0	 883	25	3.641070	STANDARD
  2	Q0	 605	26	3.610438	STANDARD
  2	Q0	 724	27	3.605748	STANDARD
  2	Q0	 780	28	3.507625	STANDARD
  2	Q0	 725	29	3.504341	STANDARD
  2	Q0	1262	30	3.496230	STANDARD
  2	Q0	 882	31	3.495856	STANDARD
  2	Q0	1378	32	3.494505	STANDARD
  2	Q0	  46	33	3.492830	STANDARD
  2	Q0	 485	34	3.466951	STANDARD
  2	Q0	 201	35	3.447557	STANDARD
  2	Q0	 711	36	3.441024	STANDARD
  2	Q0	1146	37	3.419682	STANDARD
  2	Q0	  35	38	3.417024	STANDARD
  2	Q0	 657	39	3.385130	STANDARD
  2	Q0	 875	40	3.370249	STANDARD
  2	Q0	 283	41	3.365069	STANDARD
  2	Q0	 194	42	3.340406	STANDARD
  2	Q0	 496	43	3.299507	STANDARD
  2	Q0	  74	44	3.255033	STANDARD
  2	Q0	1011	45	3.222713	STANDARD
  2	Q0	1330	46	3.160891	STANDARD
  2	Q0	1157	47	3.064033	STANDARD
  2	Q0	 394	48	3.063427	STANDARD
  2	Q0	 861	49	3.057596	STANDARD
  2	Q0	 428	50	3.048881	STANDARD
  3	Q0	 484	 1	8.068105	STANDARD
  3	Q0	 143	 2	7.579571	STANDARD
  3	Q0	 398	 3	7.568637	STANDARD
  3	Q0	   4	 4	7.164810	STANDARD
  3	Q0	  90	 5	6.352498	STANDARD
  3	Q0	  89	 6	6.230639	STANDARD
  3	Q0	 180	 7	5.613389	STANDARD
  3	Q0	1071	 8	5.400682	STANDARD
  3	Q0	 827	 9	4.921176	STANDARD
  3	Q0	 541	10	4.593293	STANDARD
  3	Q0	 578	11	4.400899	STANDARD
  3	Q0	   5	12	4.380714	STANDARD
  3	Q0	 622	13	4.309116	STANDARD
  3	Q0	 581	14	4.075183	STANDARD
  3	Q0	 979	15	4.000529	STANDARD
  3	Q0	 250	16	3.935337	STANDARD
  3	Q0	 343	17	3.922886	STANDARD
  3	Q0	 583	18	3.751677	STANDARD
